key current-time xcor ycor available-power actual-power
 74 3.6622522268102897 -14.915859648333088 14.380482608647066 0 0 
 10 3.6622522268102897 12.956119612766265 3.0384664343199175 0 0 
 86 3.6622522268102897 -9.630754268543509 -13.376267564514972 0 0 
 63 3.6622522268102897 -5.359960121553146 -6.808910216553386 0 0 
 87 3.6622522268102897 12.439267688096264 13.350328983617842 2 0 
 9 3.6622522268102897 -4.94006398169114 -13.82750801046523 0 0 
 28 3.6622522268102897 9.672758555553541 -17.070920513099896 0 0 
 64 3.6622522268102897 -0.30834534705520084 -17.04294044091595 0 0 
 55 3.6622522268102897 -0.38815486436655566 -4.035135288348141 0 0 
 47 3.6622522268102897 -1.9982144826272223 8.502864246115744 0 0 
 4 3.6622522268102897 13.930100575548057 -8.50695034772436 0 0 
 38 3.6622522268102897 13.615834250209176 -8.859895258400106 0 0 
 52 3.6622522268102897 12.71544337811304 -10.206310020445384 0 0 
 40 3.6622522268102897 -11.434940188328202 16.943455046018542 0 0 
 20 3.6622522268102897 10.646553585553336 -16.90855108106885 0 0 
 85 3.6622522268102897 -8.513301081780673 -9.380606096226595 0 0 
 79 3.6622522268102897 0.8910569228261852 -7.557194181443162 0 0 
 67 3.6622522268102897 -12.419729093872041 14.986582861222868 0 0 
 77 3.6622522268102897 2.539954100051991 1.7949913120392895 0 0 
 41 3.6622522268102897 19.025704142992872 -16.692093868453078 0 0 
 75 3.6622522268102897 -9.481631975184643 -14.53227393806498 0 0 
 80 3.6622522268102897 -2.5287723489215583 10.004214021588377 0 0 
 3 3.6622522268102897 3.7052298116320124 6.986642819718821 0 0 
 90 3.6622522268102897 -5.378046639912831 17.281381248557455 0 0 
 66 3.6622522268102897 9.650024562178176 -15.337028679930116 0 0 
 69 3.6622522268102897 -17.199053486097124 3.1625103085788275 0 0 
 89 3.6622522268102897 -5.309673688691529 -6.473523558282489 0 0 
 33 3.6622522268102897 -11.574852106315978 7.550462329010356 -2 0 
 18 3.6622522268102897 -10.803293482099027 12.945685077826955 -2 0 
 56 3.6622522268102897 -5.820920287329406 -7.310567605107249 0 0 
 37 3.6622522268102897 16.87636812983778 -17.180208671219635 0 0 
 54 3.6622522268102897 19.22310070314737 18.157318862387932 0 0 
 30 3.6622522268102897 -13.182307898507894 -8.958480617479516 0 0 
 42 3.6622522268102897 7.197410033031856 -13.418264441292147 0 0 
 51 3.6622522268102897 -13.260207813371707 -19.38428681028395 0 0 
 53 3.6622522268102897 -13.454021537017509 13.01154306897319 0 0 
 36 3.6622522268102897 17.00557911147455 -0.8391659505986233 1 1 
 23 3.6622522268102897 -18.393607458532255 13.426603661559314 -1 -1 
 8 3.6622522268102897 -5.11746919706504 9.639346701191863 0 0 
 70 3.6622522268102897 -11.776854784574486 17.35469042858547 -1 0 
 73 3.6622522268102897 -5.396643686168911 0.987826436676846 0 0 
 48 3.6622522268102897 9.444919765806272 17.6304073543596 0 0 
